Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal, pgram
306, 77.47119229084849,nan,nan,252.0,156.0,188.0,332.0,0.00082888384
307, nan,nan,nan,172.0,220.0,252.0,148.0,0.00070765143
308, 9.462322208025617,nan,nan,172.0,228.0,252.0,148.0,0.0011115749
309, 11.309932474020215,nan,nan,172.0,228.0,nan,nan,0.0011115749
310, nan,nan,nan,268.0,140.0,nan,nan,0.00048004743
311, 40.60129464500447,nan,nan,188.0,332.0,260.0,124.0,0.0011115749
312, 55.66978280449668,nan,nan,204.0,260.0,260.0,108.0,2.0701977e-05
313, 47.72631099390627,45.0,nan,172.0,220.0,260.0,100.0,0.00018369422
314, nan,nan,nan,188.0,332.0,228.0,84.0,0.00039493258
315, 30.96375653207352,nan,nan,180.0,332.0,nan,nan,1.4490631e-05
316, 71.56505117707799,nan,nan,180.0,332.0,228.0,76.0,0.0010625648
317, 75.96375653207353,nan,nan,180.0,324.0,228.0,60.0,0.00017264276
318, nan,nan,nan,220.0,52.0,nan,nan,0.000301371
319, nan,nan,nan,228.0,52.0,nan,nan,0.00019481813
320, nan,nan,nan,212.0,44.0,nan,nan,0.00023479333
321, nan,nan,nan,180.0,324.0,212.0,44.0,0.00023479333
322, 24.775140568831922,0.0,nan,164.0,180.0,228.0,44.0,0.00018369422
323, 34.38034472384487,71.56505117707799,44.0,180.0,324.0,180.0,324.0,0.00018369422
324, 23.82426058289542,nan,nan,164.0,180.0,220.0,44.0,0.00036864428
325, 22.380135051959574,45.0,nan,164.0,172.0,228.0,52.0,0.00013541954
326, 22.380135051959574,nan,nan,164.0,172.0,220.0,52.0,0.00013541954
327, 15.494848599138626,45.0,nan,188.0,260.0,228.0,52.0,0.0011327275
328, nan,nan,nan,180.0,332.0,220.0,44.0,0.00012250003
329, 28.926425835253614,nan,nan,164.0,180.0,228.0,52.0,0.00012754211
330, nan,nan,nan,180.0,332.0,220.0,52.0,5.7622176e-05
331, nan,nan,nan,164.0,188.0,236.0,60.0,0.00024188623
